,Gross domestic product 2020,,,,
ARM,133,,Armenia," 12,645 ",
NIC,134,,Nicaragua," 12,621 ",
MKD,135,,North Macedonia," 12,267 ",
BRN,136,,Brunei Darussalam," 12,016 ",
MWI,137,,Malawi," 11,962 ",
MDA,138,,Moldova," 11,914 ",g
BHS,139,,"Bahamas, The"," 11,250 ",
MUS,140,,Mauritius," 10,914 ",
COG,141,,"Congo, Rep."," 10,885 ",
NAM,142,,Namibia," 10,700 ",
RWA,143,,Rwanda," 10,334 ",
TCD,144,,Chad," 10,093 ",
GNQ,145,,Equatorial Guinea," 10,022 ",
TJK,146,,Tajikistan," 8,194 ",
MRT,147,,Mauritania," 7,779 ",
KGZ,148,,Kyrgyz Republic," 7,736 ",
XKX,149,,Kosovo," 7,611 ",
TGO,150,,Togo," 7,575 ",
IMN,151,,Isle of Man," 7,492 ",
BMU,152,,Bermuda," 7,484 ",
MCO,153,,Monaco," 7,424 ",
LIE,154,,Liechtenstein," 6,839 ",
GUM,155,,Guam," 6,311 ",
CYM,156,,Cayman Islands," 5,936 ",
GUY,157,,Guyana," 5,471 ",
SOM,158,,Somalia," 4,918 ",
MNE,159,,Montenegro," 4,779 ",
FJI,160,,Fiji," 4,376 ",
BRB,161,,Barbados," 4,366 ",
MDV,162,,Maldives," 4,030 ",
VIR,163,,Virgin Islands (U.S.)," 3,984 ",
SWZ,164,,Eswatini," 3,962 ",
SLE,165,,Sierra Leone," 3,865 ",
SUR,166,,Suriname," 3,808 ",
DJI,167,,Djibouti," 3,384 ",
BDI,168,,Burundi," 3,258 ",
ABW,169,,Aruba," 3,202 ",
AND,170,,Andorra," 3,155 ",
FRO,171,,Faroe Islands," 3,126 ",
CUW,172,,Curaçao," 3,102 ",
GRL,173,,Greenland," 3,052 ",
LBR,174,,Liberia," 2,950 ",
BTN,175,,Bhutan," 2,409 ",
CAF,176,,Central African Republic," 2,303 ",
GMB,177,,"Gambia, The"," 1,902 ",
LSO,178,,Lesotho," 1,845 ",
TLS,179,,Timor-Leste," 1,821 ",
BLZ,180,,Belize," 1,764 ",
CPV,181,,Cabo Verde," 1,704 ",
LCA,182,,St. Lucia," 1,703 ",
SMR,183,,San Marino," 1,616 ",
SLB,184,,Solomon Islands," 1,551 ",
GNB,185,,Guinea-Bissau," 1,432 ",
ATG,186,,Antigua and Barbuda," 1,415 ",
COM,187,,Comoros," 1,220 ",
SXM,188,,Sint Maarten (Dutch part)," 1,185 ",
MNP,189,,Northern Mariana Islands," 1,182 ",
SYC,190,,Seychelles," 1,125 ",
GRD,191,,Grenada," 1,089 ",
KNA,192,,St. Kitts and Nevis, 927 ,
TCA,193,,Turks and Caicos Islands, 925 ,
VUT,194,,Vanuatu, 855 ,
VCT,195,,St. Vincent and the Grenadines, 810 ,
WSM,196,,Samoa, 807 ,
ASM,197,,American Samoa, 638 ,
TON,198,,Tonga, 512 ,
STP,199,,São Tomé and Principe, 473 ,
DMA,200,,Dominica, 470 ,
FSM,201,,"Micronesia, Fed. Sts.", 408 ,
PLW,202,,Palau, 268 ,
MHL,203,,Marshall Islands, 239 ,
KIR,204,,Kiribati, 200 ,
NRU,205,,Nauru, 118 ,
TUV,206,,Tuvalu, 49 ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
PYF,,,French Polynesia, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
NCL,,,New Caledonia, -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 84,705,567 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific, -   ,
ECS,,,Europe & Central Asia," 21,960,945 ",
LCN,,,Latin America & Caribbean," 4,838,098 ",
MEA,,,Middle East & North Africa," 3,098,531 ",
NAC,,,North America," 22,587,300 ",
SAS,,,South Asia," 3,351,520 ",
SSF,,,Sub-Saharan Africa," 1,685,632 ",
LIC,,,Low income," 546,661 ",
LMC,,,Lower middle income," 7,328,774 ",
UMC,,,Upper middle income," 23,630,843 ",
HIC,,,High income," 53,255,167 ",
,,,,,
,".. Not available.  
Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for  2019 or 2018, ranking is approximate.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b . Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
